chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
2014-01-28 18:00:13.583000000,2014-01-28 23:00:13.583000000,12,22,4096,60.036999999999999,0.002,253793.23967000001,-14.352592768027122,260943.50554000001,-133.94034376773254,255880.64123000001,107.39520911932151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.600000000,2014-01-28 23:00:13.600000000,12,22,4096,60.036999999999999,0,253811.55021000002,-14.13486880587741,260916.03973000002,-133.73407896148547,255825.70961000002,107.61866265942253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.617000000,2014-01-28 23:00:13.617000000,12,22,4096,60.036000000000001,-0.001,253829.86075000002,-13.934333577581622,260870.26338000002,-133.53354373318967,255816.55434000003,107.82492746566963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.633000000,2014-01-28 23:00:13.633000000,12,22,4096,60.033000000000001,-3.0000000000000001E-3,253857.32656000002,-13.733798349285834,260879.41865000001,-133.32154934899125,255844.02015000003,108.02546269396542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.650000000,2014-01-28 23:00:13.650000000,12,22,4096,60.031999999999996,-0.001,253848.17129000003,-13.521803965087429,260879.41865000001,-133.11528454274418,255853.17542000001,108.23745707816383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.667000000,2014-01-28 23:00:13.667000000,12,22,4096,60.034999999999997,3.0000000000000001E-3,253829.86075000002,-13.315539158840332,260888.57392000002,-132.89183100264316,255908.10704000003,108.45518104031353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.683000000,2014-01-28 23:00:13.683000000,12,22,4096,60.036000000000001,0.001,253802.39494000003,-13.103544774641929,260934.35027000002,-132.69129577434737,255871.48596000002,108.64998669065801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.700000000,2014-01-28 23:00:13.700000000,12,22,4096,60.034999999999997,-0.001,253811.55021000002,-12.891550390443523,260897.72919000001,-132.48503096810026,255816.55434000003,108.86771065280773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.717000000,2014-01-28 23:00:13.717000000,12,22,4096,60.033999999999999,-0.001,253857.32656000002,-12.685285584196427,260879.41865000001,-132.28449573980447,255816.55434000003,109.07970503700614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.733000000,2014-01-28 23:00:13.733000000,12,22,4096,60.033999999999999,0,253857.32656000002,-12.484750355900639,260851.95284000001,-132.07250135560608,255871.48596000002,109.28596984325323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.750000000,2014-01-28 23:00:13.750000000,12,22,4096,60.031999999999996,-0.002,253848.17129000003,-12.272755971702233,260851.95284000001,-131.86050697140766,255880.64123000001,109.48650507154902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.767000000,2014-01-28 23:00:13.767000000,12,22,4096,60.033000000000001,0.001,253811.55021000002,-12.06076158750383,260897.72919000001,-131.65424216516055,255880.64123000001,109.69849945574742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
